	gene	p_val	p_val_corrected
405	ZNF317	0.0	0.0
92	KLF3	0.0	0.0
387	PLAGL2	0.0	0.0
21	ETV3	0.0	0.0
129	PBX2	0.0	0.0
40	ZBTB18	0.0	0.0
116	ZNF354A	0.0	0.0
44	KLF11	0.0	0.0
345	SREBF1	0.0	0.0
143	PRDM1	0.0	0.0
72	NR1D2	0.0	0.0
136	NFYA	0.0	0.0
182	FOXO4	0.0	0.0
416	ZNF682	0.0	0.0
70	NR2C2	0.0	0.0
135	ETV7	0.0	0.0
425	ZBTB32	0.0	0.0
94	CLOCK	0.0	0.0
308	JDP2	0.0	0.0
167	ZKSCAN5	0.0	0.0
470	RUNX1	0.0	0.0
406	ZNF136	0.0	0.0
391	MYBL2	0.0	0.0
270	SP1	0.0	0.0
171	TFEC	0.0	0.0
440	ZNF701	0.0	0.0
454	ZNF135	0.0	0.0
271	ATF7	0.0	0.0
447	ZNF460	0.0	0.0
243	HINFP	0.0	0.0
445	ZNF582	0.0	0.0
123	SOX4	0.0	0.0
36	ATF3	0.0	0.0
277	E2F7	6.217354472903307e-284	8.667723588694611e-283
49	REL	5.5379166472835535e-136	7.499921402321155e-135
460	HIC2	1.8496129662108914e-60	2.43532373884434e-59
379	TCF4	3.9132864620525005e-58	5.013237251386176e-57
189	NKX3-1	1.4614005038295912e-48	1.8229048389874374e-47
465	ATF4	1.9913340755109284e-39	2.4202367994671284e-38
434	DBP	9.609557933113117e-39	1.1387326150739045e-37
408	KLF1	3.2606072771707364e-38	3.769580120436413e-37
472	ETS2	1.4005645243564192e-30	1.5806371060593875e-29
56	TCF7L1	1.9948747868134657e-30	2.1990015091850762e-29
41	ZNF669	6.029468798109639e-28	6.495382296145384e-27
28	TBX19	1.952847322504246e-22	2.056999179704472e-21
356	TBX21	3.626864774964559e-22	3.7372476159417415e-21
314	KLF13	1.3080779771124953e-20	1.3192105556411124e-19
246	FLI1	1.3713813612700586e-20	1.3542390942541828e-19
130	RXRB	2.0378694586891805e-20	1.9713267824870848e-19
401	NFIC	3.8927321611494864e-20	3.690310088769713e-19
133	PPARD	3.5057078418780343e-19	3.258246111863114e-18
117	ZNF354C	1.312712730570207e-17	1.1965881428659194e-16
223	KLF4	4.02991548653949e-17	3.604113095508903e-16
321	FOXB1	5.049930799835142e-16	4.432717035410847e-15
178	ELK1	6.421037254615955e-16	5.5337666521599325e-15
355	MEOX1	9.762180829481078e-16	8.262988773525056e-15
199	HEY1	2.6354763499537048e-15	2.19160664890887e-14
219	BARX1	4.486605360293152e-15	3.6666395530671624e-14
290	ELF1	9.591995859521441e-15	7.706111927818921e-14
458	MZF1	5.5417883566650465e-14	4.378012801765386e-13
363	HOXB7	5.803673194599608e-14	4.509739498754449e-13
393	CEBPB	6.670268217809415e-14	5.099527637486552e-13
180	FOXP3	7.986365832858414e-14	6.008789531388712e-13
207	HSF1	1.2738633435634406e-13	9.434550388266734e-13
202	TRPS1	4.141131451891049e-13	3.019840474148242e-12
429	POU2F2	8.14130116471078e-13	5.846934472837742e-12
264	VDR	1.0208848831488266e-12	7.222379621082744e-12
240	RELA	1.3171582302009193e-11	9.18136766345935e-11
