	gene	p_val	p_val_corrected
350	NR1D1	4.8593142728317984e-20	2.3033149653222726e-17
209	ZNF16	4.71379355159011e-19	1.1171690717268562e-16
440	ZNF701	1.3373291939583521e-18	2.1129801264541964e-16
460	HIC2	6.576910386614904e-18	7.793638808138662e-16
239	ESRRA	1.4910872509609293e-16	1.413550713910961e-14
21	ETV3	5.173110070278812e-16	4.086756955520261e-14
136	NFYA	3.212034012316552e-15	2.1750058883400652e-13
266	POU6F1	9.767039334454461e-15	5.786970805664269e-13
182	FOXO4	3.127319168306589e-14	1.6470547619748034e-12
289	ZNF140	1.2233370419115761e-11	5.798617578660871e-10
121	TFAP2A	8.094985793190195e-11	3.488202969065593e-09
120	RREB1	1.366746862046742e-10	5.398650105084631e-09
362	HOXB6	5.757049197133116e-10	2.099108707262382e-08
342	SOX15	6.853434158035654e-09	2.3203769935063572e-07
76	HESX1	9.866380666617055e-09	3.117776290650989e-07
134	TEAD3	2.773324007579442e-08	8.215972372454097e-07
85	SOX2	1.7522975125947185e-07	4.885817770411156e-06
408	KLF1	3.1225937119196383e-07	8.222830108055047e-06
247	BARX2	6.604605481624359e-07	1.5652914991449733e-05
259	VENTX	6.583819556140466e-07	1.5652914991449733e-05
