	gene	p_val	p_val_corrected
267	RARG	4.5995183318852434e-18	7.144585142195078e-16
224	ZBTB6	2.0309838208296125e-18	7.144585142195078e-16
309	ZSCAN29	4.1315725426502594e-18	7.144585142195078e-16
73	NR2C2	1.8881991694853598e-17	1.88171392090519e-15
185	ZBTB33	2.0190063529025644e-17	1.88171392090519e-15
117	ZNF354A	3.935883642011647e-17	3.0568696286290457e-15
453	HIC2	1.0817135994648617e-16	7.201121962151793e-15
67	KLF7	1.4160482627858316e-16	7.331983227313305e-15
8	ZNF684	1.4016985896453994e-16	7.331983227313305e-15
417	ETV2	5.73810997491292e-16	2.6739592483094208e-14
182	FOXO4	3.337280914673438e-15	1.4137935511252927e-13
436	ZNF784	7.53072167379739e-15	2.9244302499913197e-13
340	SREBF1	2.2466526425173974e-13	8.05338562625467e-12
389	TCFL5	2.5709015529234973e-13	8.557429454731069e-12
443	ZNF211	3.1840366089355397e-12	9.891740398426411e-11
44	ZNF669	3.66384771981067e-12	1.0670956483948577e-10
449	ZNF324	6.256112445130109e-12	1.7149108231944887e-10
56	LBX2	3.214676432806748e-10	8.322440098266358e-09
27	ATF6	9.575631996554091e-10	2.3485497423127402e-08
365	SOX9	1.4091468322568372e-09	3.2833121191584303e-08
232	TEAD1	4.754462596849982e-09	1.0550378905390913e-07
319	SOX8	1.2146463359571348e-08	2.4609790980696733e-07
357	HOXB6	1.1857479543792327e-08	2.4609790980696733e-07
280	NFYB	7.751474862476628e-08	1.505078035797545e-06
